"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,38,"BFA","Burkina Faso",1,"Boucle du Mouhoun","BF.BO",NA,"","Région","Region","",""
2,38,"BFA","Burkina Faso",2,"Cascades","BF.CD",NA,"","Région","Region","",""
3,38,"BFA","Burkina Faso",3,"Centre-Est","BF.CE",NA,"","Région","Region","",""
4,38,"BFA","Burkina Faso",4,"Centre-Nord","BF.CN",NA,"","Région","Region","",""
5,38,"BFA","Burkina Faso",5,"Centre-Ouest","BF.CO",NA,"","Région","Region","",""
6,38,"BFA","Burkina Faso",6,"Centre-Sud","BF.CS",NA,"","Région","Region","",""
7,38,"BFA","Burkina Faso",7,"Centre","BF.CT",NA,"","Région","Region","",""
8,38,"BFA","Burkina Faso",8,"Est","BF.ES",NA,"","Région","Region","",""
9,38,"BFA","Burkina Faso",9,"Haut-Bassins","",NA,"","Région","Region","",""
10,38,"BFA","Burkina Faso",10,"Nord","BF.NO",NA,"","Région","Region","",""
11,38,"BFA","Burkina Faso",11,"Plateau-Central","BF.PC",NA,"","Région","Region","",""
12,38,"BFA","Burkina Faso",12,"Sahel","BF.SA",NA,"","Région","Region","",""
13,38,"BFA","Burkina Faso",13,"Sud-Ouest","BF.SO",NA,"","Région","Region","",""
